Sat Jul 11 12:49:13 2020 Epoch 1, lr: 0.0000300, train loss: 0.40566, val loss: 0.30688, acc: 44.15976, qwk: 0.75123
Sat Jul 11 13:03:57 2020 Epoch 2, lr: 0.0000300, train loss: 0.31948, val loss: 0.30424, acc: 40.91937, qwk: 0.74986
Sat Jul 11 13:18:41 2020 Epoch 3, lr: 0.0000300, train loss: 0.29590, val loss: 0.26595, acc: 53.42879, qwk: 0.81368
Sat Jul 11 13:33:23 2020 Epoch 4, lr: 0.0000300, train loss: 0.27331, val loss: 0.26743, acc: 55.10550, qwk: 0.79787
Sat Jul 11 13:48:06 2020 Epoch 5, lr: 0.0000300, train loss: 0.25811, val loss: 0.25114, acc: 58.64732, qwk: 0.82830
Sat Jul 11 14:02:50 2020 Epoch 6, lr: 0.0000300, train loss: 0.24223, val loss: 0.27673, acc: 52.07234, qwk: 0.82052
Sat Jul 11 14:17:35 2020 Epoch 7, lr: 0.0000300, train loss: 0.23347, val loss: 0.24603, acc: 57.00829, qwk: 0.82780
Sat Jul 11 14:32:18 2020 Epoch 8, lr: 0.0000300, train loss: 0.22222, val loss: 0.24345, acc: 57.72419, qwk: 0.84464
Sat Jul 11 14:47:02 2020 Epoch 9, lr: 0.0000300, train loss: 0.21008, val loss: 0.26087, acc: 60.83271, qwk: 0.81571
Sat Jul 11 15:01:43 2020 Epoch 10, lr: 0.0000300, train loss: 0.19690, val loss: 0.27491, acc: 56.93293, qwk: 0.83278
Sat Jul 11 15:16:25 2020 Epoch 11, lr: 0.0000300, train loss: 0.18985, val loss: 0.24421, acc: 57.34740, qwk: 0.84609
Sat Jul 11 15:31:09 2020 Epoch 12, lr: 0.0000300, train loss: 0.18580, val loss: 0.24750, acc: 60.87038, qwk: 0.82832
Sat Jul 11 15:45:51 2020 Epoch 13, lr: 0.0000300, train loss: 0.17631, val loss: 0.24750, acc: 61.66164, qwk: 0.84561
Sat Jul 11 16:00:36 2020 Epoch 14, lr: 0.0000300, train loss: 0.16435, val loss: 0.24547, acc: 59.55162, qwk: 0.84470
Sat Jul 11 16:15:18 2020 Epoch 15, lr: 0.0000300, train loss: 0.16101, val loss: 0.24929, acc: 63.56443, qwk: 0.84498
Sat Jul 11 16:30:03 2020 Epoch 16, lr: 0.0000300, train loss: 0.15272, val loss: 0.26781, acc: 63.07460, qwk: 0.83188
Sat Jul 11 16:44:48 2020 Epoch 17, lr: 0.0000300, train loss: 0.14583, val loss: 0.25011, acc: 62.60362, qwk: 0.85345
Sat Jul 11 16:59:32 2020 Epoch 18, lr: 0.0000300, train loss: 0.14334, val loss: 0.26032, acc: 60.53127, qwk: 0.84929
Sat Jul 11 17:14:15 2020 Epoch 19, lr: 0.0000300, train loss: 0.13950, val loss: 0.24842, acc: 64.18613, qwk: 0.85369
Sat Jul 11 17:28:58 2020 Epoch 20, lr: 0.0000300, train loss: 0.12894, val loss: 0.25037, acc: 64.39337, qwk: 0.85568
Sat Jul 11 17:43:41 2020 Epoch 21, lr: 0.0000300, train loss: 0.12289, val loss: 0.24168, acc: 65.20347, qwk: 0.86144
Sat Jul 11 17:58:24 2020 Epoch 22, lr: 0.0000300, train loss: 0.11833, val loss: 0.24853, acc: 63.96006, qwk: 0.86367
Sat Jul 11 18:13:09 2020 Epoch 23, lr: 0.0000300, train loss: 0.11263, val loss: 0.24974, acc: 65.65561, qwk: 0.86957
Sat Jul 11 18:27:53 2020 Epoch 24, lr: 0.0000300, train loss: 0.11082, val loss: 0.26181, acc: 65.80633, qwk: 0.85983
Sat Jul 11 18:42:34 2020 Epoch 25, lr: 0.0000300, train loss: 0.10058, val loss: 0.25144, acc: 65.63677, qwk: 0.86779
Sat Jul 11 18:57:19 2020 Epoch 26, lr: 0.0000300, train loss: 0.09653, val loss: 0.25941, acc: 66.59759, qwk: 0.86647
Sat Jul 11 19:12:01 2020 Epoch 27, lr: 0.0000300, train loss: 0.08902, val loss: 0.32241, acc: 60.85154, qwk: 0.83315
Sat Jul 11 19:26:44 2020 Epoch 28, lr: 0.0000300, train loss: 0.09798, val loss: 0.32165, acc: 57.66767, qwk: 0.83530
Sat Jul 11 19:41:27 2020 Epoch 29, lr: 0.0000300, train loss: 0.08732, val loss: 0.27819, acc: 64.50641, qwk: 0.85615
Sat Jul 11 19:56:11 2020 Epoch 30, lr: 0.0000300, train loss: 0.08676, val loss: 0.28147, acc: 66.23964, qwk: 0.87048
Sat Jul 11 20:10:53 2020 Epoch 31, lr: 0.0000300, train loss: 0.08106, val loss: 0.27084, acc: 66.91786, qwk: 0.87013
Sat Jul 11 20:25:36 2020 Epoch 32, lr: 0.0000300, train loss: 0.07494, val loss: 0.27802, acc: 64.73248, qwk: 0.85650
Sat Jul 11 20:40:19 2020 Epoch 33, lr: 0.0000300, train loss: 0.07410, val loss: 0.36812, acc: 55.91560, qwk: 0.80136
Sat Jul 11 20:55:02 2020 Epoch 34, lr: 0.0000300, train loss: 0.07396, val loss: 0.29910, acc: 66.67295, qwk: 0.85655
Sat Jul 11 21:09:45 2020 Epoch 35, lr: 0.0000300, train loss: 0.06849, val loss: 0.28925, acc: 66.33384, qwk: 0.86443
Sat Jul 11 21:24:27 2020 Epoch 36, lr: 0.0000300, train loss: 0.06402, val loss: 0.33148, acc: 60.79503, qwk: 0.84736
Sat Jul 11 21:39:11 2020 Epoch 37, lr: 0.0000300, train loss: 0.06475, val loss: 0.29189, acc: 67.14393, qwk: 0.86797
Sat Jul 11 21:53:54 2020 Epoch 38, lr: 0.0000300, train loss: 0.06649, val loss: 0.34628, acc: 64.84552, qwk: 0.83360
Sat Jul 11 22:08:36 2020 Epoch 39, lr: 0.0000300, train loss: 0.06244, val loss: 0.29620, acc: 65.42954, qwk: 0.86166
Sat Jul 11 22:23:20 2020 Epoch 40, lr: 0.0000300, train loss: 0.05747, val loss: 0.35405, acc: 61.22833, qwk: 0.84436
Sat Jul 11 22:38:02 2020 Epoch 41, lr: 0.0000300, train loss: 0.05633, val loss: 0.30558, acc: 66.57875, qwk: 0.86199
